ID;Конфликт: Название конфликта;Конфликт: Дата начала;Конфликт: Год начала (пр.2021);Конфликт: Дата окончания;Конфликт: Год окончания;Конфликт: Статус на момент заполнения карточки;Конфликт: Описание конфликта;Конфликт: Акторы;Конфликт: Исход конфликта;Конфликт: Уровень резонанса;Адрес конфликта: Город;Адрес конфликта: Место (Адрес);Адрес конфликта: Содержимое метки;Адрес конфликта: Номер участка по кадастровой карте;Адрес конфликта: Описание;Адрес конфликта: latitude;Адрес конфликта: longitude;Вид повестки: Название;Триггеры: Название;Триггеры: Тип триггера;Триггеры: Год (пр.2021) ;Триггеры: Интересанты проекта;Триггеры: Масштаб проекта;Триггеры: Численность населения, которых затрагивают изменения;Триггеры: Описание;Масштаб конфликта: Название;;;
1;Шлюз, лес на Сиреневой;2013-01-01 15:00:00;2013;2018-12-21 00:00:00;2018;Завершенный;"Жители микрорайона ""Шлюз"" защищают от застройки лес, расположенный поблизости от их домов. Активистам удалось добиться отмены перезонирования территорий леса под жилую застройку, а также включения территории в планы по созданию охраняемой природной территории (ООПТ). Вот уже 10 тысяч лет на территории за нынешними улицами Сиреневой и Балтийской микрорайона ""Шлюз"" расположен лесоболотный комплекс, так называемые Шлюзовские леса. По мнению местных жителей, это уникальная природный объект на стыке трёх климатических зон, место обитания краснокнижных видов растений, птиц и животных, сохранившееся из-за своей труднодоступности. Шлюзовские леса - излюбленное место прогулок жителей микрорайона. Триггером конфликта стал перевод участка леса возле дома 41 по улице Сиреневой из Зоны зеленых насаждений Р-1 в Зону жилой застройки Ж-1 в 2007 году. Жители Сиреневой узнали об этом только в начале июня 2013 года, когда у них во дворе появился забор, отгородивший часть леса с вековыми лиственницами, соснами, берёзами и черёмухой. Жители предприняли максимальные усилия по защите отобранного у них природного участка: они писали письма в прокуратуру, мэрию, обращения к депутатам, кандидатам в депутаты, выходили на пикеты, вывешивали флаги и транспаранты на домах&hellip; Инициативная группа создала свою страницу во Вконтакте, проводила регулярные сходы жителей. По мнению жителей, в ответ на их обращения чиновники писали отписки, говорили, что предполагаемое строительство высотного дома с парковкой на 200 машин законно. Поддержать защитников леса приходили многие: и депутаты, и кандидаты в депутаты; много писали и показывали в различных СМИ. Мэр Новосибирска А.Локоть пообещал (в выступлении на местном телевидении), что рубить лес не будут. Но жители так и не получили от высоких чиновников никаких официальных гарантий того, что лес действительно останется в неприкосновенности. И забор до сих пор стоит, и по ночам за ним воет собака&hellip; По мнению инициаторов конфликта, застройщики покушаются на Шлюзовские леса уже не в первый раз. В 2011 году в проекте планировки микрорайона Шлюз предусматривалась его масштабная застройка заводами, корпусами и коттеджами НИИПК им. Мешалкина и жилым комплексом ""Балтийский-2"" на 30 тысяч жителей (сейчас на Шлюзе живёт около 17 тысяч). В тот раз общественности удалось ""завернуть"" столь радикальный проект ""развития"" территории. Но желающие строить в лесу и на болоте, где глубина залегания торфа местами больше 4,5 метров, до сих пор остаются. В мэрии создана рабочая группа по разработке нового (уже третьего по счёту) проекта планировки Шлюза, в которую не вошёл ни один человек от инициативной группы защитников леса на Сиреневой. Члены инициативной группы жителей акцентируют внимание общественности и властей на риски строительства в этом лесоболотном формировании. Жители территории, лишённой леса как естественного барьера для ветров с Обского водохранилища и грязи с Бердского шоссе, очень быстро ощутят на себе дискомфорт на открытом, незащищённом пространстве. Многометровый торфяник при осушении под строительство, будет гореть, и дыма от этих пожаров хватит не только Шлюзу, но и жителям всего Советского района. Активисты ссылаются на самовозгорание торфа за клиникой Мешалкина, случившееся несколько лет назад. Тогда лесники не смогли потушить его, и только зимой торфяник погас по естественным причинам. Жители апеллируют к многолетней проблеме торфяных пожаров в Подмосковье, где уже не первый год обводняют торфяники, которые когда-то были болотами, впоследствии осушенными под строительство. Жители ул. Сиреневой настаивают на том, что при строительстве неизбежно будут уничтожены места обитания краснокнижных видов растений и животных.Они ссылаются на действующее федеральное законодательство, согласно которому, в местах обитания краснокнижных видов запрещена любая хозяйственная деятельность. Есть и ещё один немаловажный фактор протеста: существенное снижение цен на вторичное жилье в микрорайоне. Вместе с исчезновением одного из двух преимуществ Шлюза – леса с его чистым воздухом и местами для круглогодичных прогулок – исчезнет и привлекательность этой территории, а, соответственно, и стоимость жилья у протестующих. Жители настаивают, что Шлюзовскому лесу необходимо присвоить статус особо охраняемой природной территории регионального значения (ООПТ). А участок возле домов на Сиреневой - перевести из категории Ж-1 назад в природную зону Р-1 и, вместе со всем остальным лесным массивом площадью в 5 квадратных километров, как уже сказано выше – в ООПТ. (25.08.2015. Чтобы лес не перестал быть лесом:http://www.infonarod.ru/info/zashchitim-les-na-shlyuze) В конце 2018-го года требования протестующих были удовлетворены. Мэрия Новосибирска отказалась от планов по перепланировке леса под застройку, а депутаты Законодательного собрания озвучили планы по созданию ООПТ на территории Шлюзовского леса.";Прийдак - активная участница Ассоциация Обманутых Дольщиков и Инвесторов - Науменко (Председатель) - активный участник Строительное региональное партнёрство - Федорченко (Генеральный директор) - активный участник Департамент строительства и архитектуры мэрии города Новосибирска - Буслова (Начальник отдела) - активная участница Клиника Мешалкина - Чирков (Заместитель директора) - активный участник Искалеченный Новосибирск - Рязанцев - активный участник;Требования инициирующих конфликт удовлетворены;Менее 10 публикаций;Новосибирск;участок леса около НМИЦ им. ак. Е.Н. Мешалкина (ул. Речкуновская, 15, Новосибирск);;;;54.8676;83.0706;Проекты строительства или изменений на территории (предложение, разрешение, начало реализации) / Снос деревьев, группы деревьев;Подготовка строительной площадки в лесу на Сиреневой;Инвестиционный;;;;;;локальный;;;
2;Богдана Хмельницкого: Дом спорта, Клуб Отдых;2016-10-28 10:00:00;2016;2017-10-22 18:00:00;2017;Завершенный;"Общественники движения ""Защитим Богданку"", жители улицы Богдана Хмельницкого и сообщество городских архитекторов выступили против сноса клуба ""Отдых"", Дома спорта, вырубки деревьев и постройки на освободившемся месте многоквартирного жилого комплекса. ""Хранителями"" района было найдено множество нарушений – от нестыковок в базовой документации проекта (в целевом назначении земельного участка значилась эксплуатация Дома спорта и клуба ""Отдых"", которые затем изменили на строительство многоквартирных домов) до вырубки деревьев (при подготовке стройплощадки было спилено семь полувековых голубых елей и 32 сосны). Жители района протестовали против изменения его облика, ссылаясь на то обстоятельство, что ул. Богдана Хмельницкого - редкий для Новосибирска пример застройки в едином архитектурном стиле. По мнению протестующих, строящийся жилой комплекс не вписывался в стиль улицы. Жителей также беспокоила дополнительная нагрузка на дороги и социальную инфраструктуру, которая возникнет из-за появления жителей нового ЖК. Несмотря на масштабный и резонансный протест, жилой комплекс все-таки был построен, однако застройщик согласился снизить объем застройки и изменить цвет фасадов в соответствии с требованиями протестующих. Застройщик также обещал построить гимнастический зал взамен снесенного Дома Спорта, однако на 2023 это обещание выполнено не было.";"Активисты Национально-освободительного движения, члены движения ""Пенсионеры за достойную жизнь""; депутат Горсовета Дмитрий Прибаловец; Мэр Новосибирска Анатолий Локоть; организатор пикета Наталья Дмитриева; пенсионерка Валентина Юрина; жители улицы Богдана Хмельницкого; организатор пикета Наталья Дмитриева; организатор митинга, представитель общественного движения ""Защитим Богдашку!"" Анна Тажеева; старшая по дому № 18 Тамара Щербакова; участник общественного движения ""Защитим Богданку!"" Александр Лунин; начальник департамента культуры, спорта и молодёжной политики мэрии Новосибирска Терешкова Анна Васильевна, неравнодушные жители города Новосибирска.";Проблема не решена, затухание конфликта  / Требования инициирующих конфликт не получили поддержки. Временное отступление конфликтующих сторон или прекращение противодействия при сохранении основных признаков конфликта, в результате чего происходит: Снижение значимости объекта конфликта, потеря мотива к борьбе. Истощение сил, ресурсов, но сохранение ядра. Перспективы актуализации этого конфликта в случае изменения обстоятельств, или перспективы перерастания в другой конфликт. ;От 51 до 150 публикаций;Новосибирск;"Богдана Хмельницкого, 19; Богдана Хмельницкого, 21";;54:35:042025:54;;55.070604;82.941279;Уплотнительная застройка (комплекс негативных факторов): Нехватка инсоляции, нежелательное соседство, нагрузка на инфраструктуру, изменение вида из окна и облика места) / Снос значимого объекта;Проект ЖК «Сосновый бор» компании «СД Альфа Капитал» / Снос клуба «Отдых» и Дом спорта компанией «СД Альфа Капитал»;Инвестиционный;;"Строительная компания ООО ""Клуб Отдых"" ";;Около 200 694 тыс человек (Калининский район). Источник: https://novo-sibirsk.ru/about/districts/kalin/. ;;городской;;;
3;Застройка территории бывшего лагеря «Юный медик»;2020-09-05 00:00:00;2019;;;Активный;"Жители Нижней Ельцовки защищают от вырубки и застойки лес в районе бывшего пионерского лагеря ""Юный медик"". Речь идёт об участке в 7 гектаров бора, которым с 2014 года владеет новосибирская строительная компания ""Д54"". В процедурах зонирования этого же года, по словам представителей инициативной группы, были допущены нарушения градостроительного законодательства – их удалось выявить лишь в 2019-м. После общественных слушаний по генплану в мэрии Новосибирска участок было решено отнести к рекреационным зонам, однако после принятия градостроительного документа там разрешили жилое строительство. По данным активистов, на территории бывшего лагеря планируется многоэтажная застройка. Жители Советского района попытались защитить участок с помощью создания ООПТ, однако не получили на это разрешения.";"общественная группа по защите леса в районе Нижней Ельцовки (Советский район) Новосибирска, жители Нижней Ельцовки, Василиса Мальцева, представитель ТОС ""Малая родина"", Депутат Горсовета от КПРФ Виктор Стрельников, мэр Анатолий Локоть, Алексей Андреев - депутат Законодательного собрания НСО от партии ""Единая Россия"", Алексей Носов – общественник, Ирина Путинцева – депутат Горсовета, Андрей Травников – губернатор новосибирской области.";Конфликт на момент заполнения карточки не завершился / Перспективы решения проблемы, завершения и выбора стратегии завершения неясны. Проект изменений на момент заполнения карточки еще в процессе реализации, реализуемость изменений и обязательств (если они декларируются оной из сторон) под вопросом.;От 10 до 50 публикаций;Новосибирск;;;;;54.8823;83.1032;Нехватка/плохое состояние/проектирование парков, скверов, зеленых зон (места в парках), фонтанов / Снос деревьев, группы деревьев;Обновленный Генплан Новосибирска от 24 марта, в котором в зону многоэтажной застройки вошел земельный участок бывшего пионерлагеря «Юный медик»;Инвестиционный;;правительство Новосибирской области, частный застройщик.;Земельный участок в Сосновом бору 10.5 га. Источник: https://journal.n1.ru/articles/dom-v-lesu-novyi-vitok-v-konflikte-iz-za-planov-zastroiki-nizhnei-elcovki/;;;городской;;;
4;Соцгород на Пархоменко;2020-07-22 00:00:00;2020;;;Cпящий;"Новосибирские краеведы Игорь Поповский, Елена Воротникова и Константин Голодяев, а также жители нескольких домов в 1-м переулке Пархоменко просят признать объектом культурного наследия Соцгородок завода ""Сибкомбайн"". Они считают, что место представляет высокую историческую и архитектурную ценность, а также опасаются, что из-за своего выгодного расположения рядом с парковыми зонами городок в будущем можем стать объектом жилищной застройки. В начале 2021 года Инспекция по охране памятников отказала активистам в присвоении Соцгороду охранного статуса. В своём заключении эксперты отметили, что на Пархоменко сохранилась историческая планировочная структура ансамбля, но подлинный первоначальный облик зданий утрачен на фоне появления новых объектов, существенно изменивших контекст и масштаб среды. Справка: Соцгород завода ""Сибсельмаш"" построили в начале 1930-х годов в границах нынешних улиц Пархоменко, Котовского и Станиславского. В этом квартале сейчас 22 среднеэтажных дома и 12 пятиэтажных. в стиле конструктивизма 20-30-х гг. Аналогичные кварталы с домами-коммунами в 1930-х годах строили во многих городах Советского Союза. Проект соцгорода в левобережье разработал ""Новосибсоцстрой"". В основу легли типовые проекты бригады немецкого архитектора Эрнста Мая, в которую входили специалисты из Германии, Австрии, Голландии, Швейцарии. Типовые соцгорода включали четырёхэтажные дома-коммуны (или ""жилые комбинаты""), общественные здания (клубы, кинотеатры, бассейны и детские учреждения). К соцгороду на Пархоменко относился кинотеатр ""Металлист"" на улице Римского-Корсакова, который общественникам удалось спасти от уничтожения. Несколько десятков лет тут же проработал и дом культуры имени Клары Цеткин. По словам архитектора Игоря Поповского, этот ДК построили по типовому американскому проекту. В 1933 году это был клуб ""Сибтекстильмашстрой"", а в 1936 году ему присвоили имя Клары Цеткин. Сейчас здание стоит без дела, ожидая решения своей участи. В начале нынешнего века дома соцгорода имели крайне непрезентабельный вид и считались рассадником маргиналов. Но за последние несколько лет многое в них поменялось в лучшую сторону: там провели капитальный ремонт, покрасили фасады в весёлые цвета. Старожилы говорят, что 1-й переулок Пархоменко был вымощен брусчаткой. Правда, сейчас она под асфальтом. Не все старые дома соцгорода завода ""Сибсельмаш"" пригодны для жилья. В 2019 году стало известно, что четырёхэтажный кирпичный дом на улице Станиславского, 5 подлежит расселению и сносу, поскольку находится в очень ветхом состоянии. Дом построили в 1932 году, площадь всех его помещений – 2600 кв. метров. Муниципалитет планирует расселить дом и изъять участок под нужды города.";"инспекция по охране объектов культурного наследия Новосибирской области; руководитель общественной организации ""Школа грамотного потребителя"" Светлана Миронова; жительница дома №8 в 1-м переулке Пархоменко Ирина Пунцуль; эксперт по градостроительству, архитектор Игорь Поповский; эксперты в сфере ЖКХ; краевед, сотрудник Музея Новосибирска Константин Голодяев; сотрудник музея Новосибирска Елена Воротникова.";Проблема не решена, затухание конфликта  / Требования инициирующих конфликт не получили поддержки. Временное отступление конфликтующих сторон или прекращение противодействия при сохранении основных признаков конфликта, в результате чего происходит: Снижение значимости объекта конфликта, потеря мотива к борьбе. Истощение сил, ресурсов, но сохранение ядра. Перспективы актуализации этого конфликта в случае изменения обстоятельств, или перспективы перерастания в другой конфликт. ;Менее 10 публикаций;Новосибирск;;;;;54.9912;82.8746;Сохранение символически значимых объектов (не имеющих статуса памятников);Снос нескольких зданий соцгорода и риск продолжения сноса;Инвестиционный;;;жилые дома №8, 10, 12, 14 и 16 в 1-м переулке Пархоменко, дома №1, 3, 5, 7 и 9 во 2-м переулке Пархоменко, здание бывшего ДК имени Клары Цеткин на улице Котовского, 19.;Около 100 тыс человек, улица Пархоменко.;;локальный / федеральный;;;
5;Лесопарк имени Синягина: угроза строительства канализационного коллектора (2018-2019);1899-12-31 00:00:00;2019;2019-06-18 00:00:00;2019;Завершенный;"Лесопарк имени Синягина - обширный искусственный парк, расположенный на серной границе научного поселка Краснообск, основанного сотрудниками Сибирского отделения Академии сельскохозяйственных наук СССР. Жители Краснообска используют лесопарк для прогулок, отдыха и занятий спортом. Кроме того, парк является естественной буферной зоной между благополучным Краснообском и менее престижными жилыми комплексами Южно-Чемского жилмассива. В конце июля 2018 года было заключено соглашение, по которому застройщик ЗАО ""Жилищная инициатива"" и Горводоканал получали от администрации Краснообска возможность провести по территории лесопарка канализационный коллектор, по официальной версии – для строящегося жилмассива ""Фламинго"" в районе северной части лесопарка. Прокладка коллектора потребовала бы сноса около 100 деревьев в лесопарке. Жители высказывали опасения, что прокладка коллектора - попытка ""разделить парк"" с возможностью будущей застройки. Перспектива прокладки коллектора вызвала масштабный протест у жителей поселка. Осенью 2018 года проходит митинг, участники которого требуют от региональных властей защитить парк и расторгнуть соглашение о строительстве коллектора. Митингующие выразили недоверие главе администрации поселка Юрию Саблину. Активисты так же собирали одиннадцать тысяч подписей жителей Краснообска и Новосибирска в защиту парка. Встав на сторону жителей, администрация р.п. Краснообска направила письмо в ООО ""Жилищная инициатива"", с предложением расторгнуть подписанное 27 июля 2018 года соглашение о публичном сервитуте для прокладки канализационного коллектора. Получив отказ, краснообские чиновники обратились в суд, который в июне 2019 года расторг соглашение о прокладке коллектора. Зимой 2022-го года парк получил статус Особо охраняемой природной территории (ООПТ), который накладывает ограничения на возможность строительства в парке. Справка: Лесопарк имени академика Ираклия Ивановича Синягина запроектирован как неотъемлемая часть градостроительной структуры научного городка Сибирского отделения Всесоюзной академии сельскохозяйственных наук имени Ленина (НГ СО ВАСХНИЛ, ныне поселок Краснообск). Проект Лесопарка в составе Проекта детальной планировки Научного городка выполнен специалистами ГИПРОНИИ Академии наук СССР в 1972 году. Назначение лесопарка – экологическое, рекреационное и научное.";;Требования инициирующих конфликт удовлетворены;От 10 до 50 публикаций;Новосибирск;;;;;54.9328;82.9829;Нехватка/плохое состояние/проектирование парков, скверов, зеленых зон (места в парках), фонтанов / Снос деревьев, группы деревьев / Отсутствие институционального доверия (доверия к легитимности действий местных органов власти);Выделение земли для прокладки канализации через Лесопарк Синягина;Инвестиционный;;;;;;локальный;;;
6;Строительство кампуса НГУ мирового уровня;;2021;;;Cпящий;Конфликт между строителями и защитниками природы в Академгородке стал ярко проявлять себя еще в 2010 году, когда начали строить новый корпус НГУ. Для строительства была вырублена часть леса, что возмутило экоактивистов из числа местных жителей. Они выходили на продолжительные митинги и пикеты, пытались сломать забор, которым огородили строительную площадку. В какой-то момент стройку даже охраняли полицейские. Чтобы не допустить вырубку пяти тысяч деревьев, некоторые активисты объявили продолжительную голодовку. Лидерами протестующих были экологические активисты Академгородка Наталья Прийдак и Наталья Шамина. Несмотря на протесты, строительство корпуса было закончено, хотя прокуратура и вынесла ректору НГУ и Мэрии Новосибирска о высадке 2200 деревьев взамен срубленных. Внимание к конфликту усилилось с марта 2021 года после заявления премьер-министра РФ М.Мишустина относительно финансирования проектов строительства новых объектов НГУ. И хотя губернатор Андрей Травников на встрече с премьером правительства РФ Михаилом Мишустиным обещал, что новые корпуса для подготовки научных кадров будут возведены с максимальным сохранением зеленой зоны, на защиту лесов могут встать не только активисты-экологи, но и сотни жителей Академгородка. Конфликт вокруг нового строительства вновь может поднять вопрос – что нужно больше Академгородку: развитие научного потенциала, лес или разумный компромисс?;"Наталья Прийдак и члены инициативной группы ""В защиту лесов"", Наталья Шамина, член ландшафтного совета Советского района и др. экоактивисты и поддерживающие их. Проректор НГУ по медиасвязи Наталья Шамина Олег Бородин, сотрудник аппарата Президиума СО РАН А.А. Травников губернатор Новосибирской области";Конфликт на момент заполнения карточки не завершился / Перспективы решения проблемы, завершения и выбора стратегии завершения неясны. Проект изменений на момент заполнения карточки еще в процессе реализации, реализуемость изменений и обязательств (если они декларируются оной из сторон) под вопросом.;Более 150 публикаций;Новосибирск;г Новосибирск, ул Пирогова, д 1;;54:35:091475:3;Старый корпус НГУ;54.8429;83.091;Снос деревьев, группы деревьев / Отсутствие институционального доверия (доверия к легитимности действий местных органов власти) / Угроза уничтожения лесных и парковых зон;Проект строительства новых объектов НГУ;Инвестиционный;;Руководство НГУ;Районный, ул. Пирогова, 1, Советский район, микрорайон Академгородок, Новосибирск;;;федеральный;;;
7;Нарымский сквер: против строительства гостиницы;2005-03-13 00:00:00;2005;2017-06-05 00:00:00;2017;Завершенный;"Аннотация: Нарымский сквер был одной из главных ""горячих точек"" Новосибирска 2010-х годов – резонансный конфликт вокруг начавшегося строительства гостиницы на территории сквера не утихал несколько лет и привел к отмене проекта. В 2005 году Мэрия города Новосибирска выдала девелоперу разрешение на строительство в Нарымском сквере многоэтажной гостиницы. Об этом узнали горожане, которые стали собирать митинги и пикеты для сохранения Нарымского сквера. Больше 10 лет общественники боролись за сохранение зеленой зоны, на территории которой планировалось построить гостиницу: устраивали пикеты и митинги, перекрывали дороги, оккупировали суды – прошло более 400 заседаний. В итоге протестующие смогли защитить сквер от застройки: новый мэр города Анатолий Локоть отозвал разрешение на строительство, а вырытый под гостиницу котлован был засыпан. Сейчас это зеленая часть Нарымского сквера с новыми посадками. Первый митинг прошёл в одно из мартовских воскресений в том же 2005 году, его организовала партия зелёных. Тогда собралось мало людей, горожане ставили подписи против строительства гостиницы в сквере. За несколько дней до митинга 29-30 апреля 2008 года на участке сквера со стороны ул.1905 года было уничтожено 500 деревьев. Это событие вызвало рост социального напряжения среди жителей города, и 300 человек вышли на перекрытие, чтобы показать меру своего возмущения действиями представителей органов власти. Около 19:00 в Нарымском сквере со стороны киоска ""Подорожник"" собрались жители окрестных домов и другие неравнодушные к проблеме уничтожения парков, однако участники акции не услышали мнение насчёт сложившейся со строительством ситуации в Нарымском сквере от мэра города или застройщика, а инициаторы были привлечены к административной и уголовной отвественности. 16 июля 2008 г. в Новосибирске состоялся пикет против застройки Нарымского сквера. Представители Комитета Солидарных Действий и жители близлежащих домов решили рассказать горожанам о ходе судебных процессов по скверу. 13 июня 2013 года около ста борцов против точечной застройки в Нарымском сквере Новосибирска вышли на согласованный митинг, чтобы отметить свою победу в очередном судебном заседании. Участники митинга заявили, что готовы продолжать защишать сквер от строительства. 17 июня 2013 года представитель новосибирской общественной организации ""Защитим Нарымский сквер"" Марина Широковских написала в региональное управление СК РФ заявление с просьбой привлечь мэра Новосибирска Владимира Городецкого к уголовной ответственности сразу по пяти статьям, включая превышение полномочий и экоцид. 5 июня 2017 года городские экологические активисты, борющиеся против масштабной вырубки зеленых насаждений в городе, вышли на одиночные пикеты. После 2017 года не было зафиксировано конфликтных событий. На момент 2025 года гостиница в Нарымском сквере не была построена.";"РГС Недвижимость - интересант проекта Новосибирское отделение Всероссийского общества охраны памятников истории и культуры - Шамина - Председатель - активный участник Общественная организация ""Защитим Нарымский сквер"" - Шевченко - Активист - активный участник Администрация Железнодорожного района - Боровиков - Заместитель главы администрации Железнодорожного района по городскому хозяйству - активный участник АКМ - Шмагирёв - Руководитель - активный участник Общественная организация ""Защитим Нарымский сквер"" - Лобарев - Активист - активный участник Общественная организация ""Защитим Нарымский сквер"" - Пожарский - Активист - активный участник Общественная организация ""Защитим Нарымский сквер"" - Красавин - Активист - активный участник Общественная организация ""Защитим Нарымский сквер"" - Пугачева - Активист - активный участник Прокуратура Новосибирской области - Маркасова - Прокурор - активный участник Департамент строительства и архитектуры мэрии города Новосибирска - Боярский - Начальник - активный участник Законодательное собрание Новосибирской области - Агеенко - Депутат - активный участник Общественная организация ""Защитим Нарымский сквер"" - Денисюк - Член совета общественной организации - активный участник Мэрия Новосибирска - Городецкий - Мэр города Новосибирск - активный участник Общественная организация ""Защитим Нарымский сквер"" - Широковских - Представитель - активный участник Общественная организация ""Защитим Нарымский сквер"" - Фоминых - Активист - активный участник Законодательное собрание Новосибирской области - Скатов - Депутат - активный участник Совет депутатов города Новосибирска - Тыртышный - Депутат - активный участник";Требования инициирующих конфликт удовлетворены;Более 150 публикаций;Новосибирск;Нарымский сквер ( ул. Челюскинцев, 93);;55.043658, 82.910094;;55.044;82.9101;Нехватка/плохое состояние/проектирование парков, скверов, зеленых зон (места в парках), фонтанов / Сохранение символически значимых объектов (не имеющих статуса памятников);Проект строительства гостиницы на территории Нарымского сквера;Инвестиционный;2008;"Мэрия города Новосибирск; застройщик ООО ""РГС Недвижимость""";Городской;Жители г. Новосибирск;В 2005 году Мэрия города Новосибирска выдала девелоперу разрешение на строительство в Нарымском сквере многоэтажной гостиницы. Об этом узнали горожане, которые стали собирать митинги и пикеты для сохранения Нарымского сквера.;городской;;;
